,Text,Pass,Expected,Anna,Amrutha,Amrutha_enc,Anna_enc,positive_sentiment,negative_sentiment,text_length
10,"Hi guys, I have PTSD that came from a suicide related incident. I'm not ready to talk about what happened, but it was pretty recent so even the small things are triggering. This timing couldn't possibly be worse, 13 reasons why is gaining popularity incredibly quickly and the ads are popping up everywhere. I'm getting help, but these things take time and I can't just quit the internet. Is there any way I block that specific type of ad?",pass1,,Emotional Stress,Emotional Stress,7,7,69.9,30.1,79
11,"No place in my city has shelter space for us, and I won't put my baby on the literal street. (I've been there before. Fine for new, but I don't want to have to go through that with a baby). What cities have good shelter programs for homeless mothers and children? I'd love to be able to make some calls and get on a greyhound between the 7th and 16th (when I'll likely be able to get the money to go).",pass1,,Finance,Emotional Stress,7,17,79.14,20.86,81
12,Sometimes I get so angry at her I just hit out. She doesn‚I't push back so it never gets serious. I‚I'm lucky I guess. She knows she‚I's in the wrong.,pass1,,Cognitive Stress,Relationships,10,8,35.35,64.65,30
13,I saw another text on my boyfriend‚I's phone from his ex. That b***ch‚Ä¶. I know she still wants to hook up with him. So things got heated. He promised me he cut her off. Liar.,pass1,,Relationships,Relationships,10,10,31.73,68.27,35
14,I never get into fights at school. I know better. They will expel me again. But after school there have been times I have got into it with this girl I hate.,pass1,,Cognitive Stress,Cognitive Stress,8,8,33.99,66.01,32
15,"This girl was running her mouth, saying all these things about me that weren‚I't true. I had to shut her up or everyone would think they could talk trash about me. You have to make sure people know she is full of s**t.",pass1,,Cognitive Stress,Perceptual Stress,9,8,100,0,43
16,"I don‚I't fight anymore. I‚I've grown up. It‚I's not worth it to me anymore, I‚I'm trying to go to college. I‚I'm tired of getting into trouble. Today though, this idiot was running his mouth about my sister and I couldn‚I't stop myself. I had to step up. It was stupid, but she is my sister. He called her the ‚Äúh‚Äù word.",pass1,,Cognitive Stress,Emotional Stress,7,8,0,100,61
17,You have to carry a knife or some protection when you live in a neighborhood like mine. What if sh*t starts to go down. I don‚I't want to be the one without something. The part of Flint where I hang ain‚I't Ann Arbor.,pass1,,Cognitive Stress,Perceptual Stress,9,8,100,0,43
18,"I can‚I't believe that I‚I'm the one in here. I‚I'm not the bully. Not like my other friends, they‚I're rough; they‚I're much worse than me. This isn‚I't fair. I just like to make jokes. I am a comedian.",pass1,,Perceptual Stress,Perceptual Stress,9,9,63.36,36.64,38
19,Other kids think I‚I'm tough. They won‚I't mess with me either. Dad said not to put up with any s**t and stand up for yourself. He knows what he‚I's talking about. Nobody would ever mess with me. I would whoop their a**.,pass1,,Cognitive Stress,Cognitive Stress,8,8,0,100,42
20,"I don‚I't do it all the time, I only do it when she makes me mad when, like when she shows off to other boys. Then I have to put the Sheila in her place.",pass1,,Cognitive Stress,Relationships,10,8,43.75,56.25,35
21,"These things happened to me for all of year six and seven and no-one did anything. How come now I‚I'm getting into trouble now for doing the same thing they did to me? Because I‚I'm new here, I‚I'm just showing them they can‚I't mess with me. Once everyone knows I‚I'm not a loser I‚I'll be right. It ain‚I't fair. Nobody helped me out in my old school.",pass1,,Lack of social support,Emotional Stress,7,11,49.3,50.7,67
22,"What do you mean I‚I'm responsible? I don‚I't get that it‚I's my fault that other people forwarded the photo. I did it to be funny. She shouldn‚I't have had so much to drink and passed out at the party anyway. She was asking for it. I didn‚I't forward to everyone, just David and maybe one other guy. Plus, she is always showing off her body anyway. She is an exhibitionist. It is David‚I's fault.",pass1,,Perceptual Stress,Cognitive Stress,8,9,59.52,40.48,74
23,"I took the photo and posted on the blog, everyone made comments about how weird she looked. That hairdo was crazy; and those shorts. That‚I's not bullying when everyone else makes the comments right? It was meant to be funny. She didn‚I't get it, it was funny. It‚I's not my fault she took it so personally. I didn‚I't know that she would get so upset. Why is everyone so sensitive all the time.",pass1,,Perceptual Stress,Cognitive Stress,8,9,60.18,39.82,73
24,What‚I's the big deal? If I‚I'm such a bully why do I have lots of friends? Nobody likes him. They are happy I put him in his place.,pass1,,Perceptual Stress,Cognitive Stress,8,9,75.65,24.35,28
25,I only sent it once. I know I shouldn‚I't have sent it but it‚I's not like I‚I'm bashing him up. He chose to be gay. People should know. That isn‚I't my problem. It‚I's his.,pass1,,Perceptual Stress,Cognitive Stress,8,9,0,100,34
26,"For the last year, my adolescent son and daughter have been driving me nuts with fighting. I'm at my wits end. How can I get them to stop and get along?",pass1,,Relationships,Emotional Stress,7,10,0,100,31
27,"I use to be so happy. No matter what, I always was happy. I got into a relationship with this guy. I love him so much. We‚I're both teenagers. The week after his birthday, my mom made me stop talking to him. It broke me. He came to my house and talked to her, and she let us date again but not see each other. He comes up to my school every day and it tears me apart that I have to lie to her.",pass1,,Relationships,Relationships,10,10,55.67,44.33,85
28,"My husband took a job out of state for the next year and seems to be a different person. Before, he worked and slept, and on off days, he'd stay home because he didn't want to do anything else. Now he's going out with friends several nights a week while I'm still home working a 50 hours a week job and taking care of two kids by myself. He's suddenly saying he misses me and wants me to be his adored wife, but the whole time, I'm remembering how I've been emotionally starving for the last five years.",pass1,,Relationships,Relationships,10,10,49.19,50.81,98
29,"I find myself crying over every little thing, like dropping a glass of water. Today, I got out of the shower and noticed that I had forgotten a shirt. I instantly started to cry. When I made it to my room, I began to shake a little, cry more, and I begged for it to stop.",pass1,,Emotional Stress,Emotional Stress,7,7,12.7,87.3,56
30,"My long-distance girlfriend is in a sorority, and it's changing her. I feel like I'm becoming less important to her and it hurts. She just wants me to support the sorority, but it's so hard. I try every day to show her she's the most important thing to me, but she can't even stay relatively sober at a fraternity party for me so that I won't worry about her doing anything regretful. We love each other, but we're in a rough patch.",pass1,,Relationships,Relationships,10,10,70.27,29.73,82
31,"My husband always works. He does work from home, but his hours are from morning until night, and he neglects his family. If I have anything I want to do, I have to find a babysitter, but he does what he wants. He rarely comes to bed when I do, and we never have date nights.",pass1,,Relationships,Relationships,10,10,24.76,75.24,56
32,"Whenever I don't tell my friends or anyone what I did or stuff that's not really important, I feel terrible, like there‚I's a hole in my stomach. It only goes away when I hurt myself.",pass1,,Emotional Stress,Cognitive Stress,8,7,18.41,81.59,35
33,"My husband always works. He does work from home, but his hours are from morning until night, and he neglects his family. If I have anything I want to do, I have to find a babysitter, but he does what he wants. He rarely comes to bed when I do, and we never have date nights.",pass1,,Relationships,Relationships,10,10,24.76,75.24,56
34,"Whenever I don't tell my friends or anyone what I did or stuff that's not really important, I feel terrible, like there‚I's a hole in my stomach. It only goes away when I hurt myself.",pass1,,Emotional Stress,Cognitive Stress,8,7,18.41,81.59,35
35,"I'm in a long-distance relationship with my ideal man, but I'm not as attracted to him as I should be. Everything else is perfect about him, but I find myself lusting over more attractive men. The next step is marriage, but I want to marry someone who I can wake up to and fall in love with all over again. However, I also don't want to throw away a great relationship over what might just be lust. Am I asking for too much in the ""perfect guy""? Is there such a thing? Am I truly in love?",pass1,,Perceptual Stress,Cognitive Stress,8,9,93.19,6.81,97
36,"I have no real friends. I have a girlfriend who irritates me but loves me to death. I push her away and pushes me away. We‚I're going through a breakup, and I have nobody.",pass1,,Lack of social support,Lack of social support,11,11,44.74,55.26,34
37,"Back in high school, my friend and I used to masturbate around each other. I hate even talking about it now because it's so weird. We didn't even realize how messed up it was at the time. One time, it escalated and we ended up doing it for each other. It wasn't supposed to be a gay thing, but it sure sounds like it now that I talk about it. I pushed this away until it recently came up in my head again. I'm having a lot of trouble.",pass1,,Perceptual Stress,Cognitive Stress,8,9,47.34,52.66,89
38,I've been struggling with it for a test and I'm starting to believe it's something mental. What could it be?,pass1,,Cognitive Stress,Cognitive Stress,8,8,0,100,20
39,"I have bipolar II disorder, I'm addicted to alcohol and weed, and I'm hopeless. I keep drinking even though it's harming myself and others.",pass1,,Emotional Stress,Cognitive Stress,8,7,0,100,24
40,My boyfriend is seeking therapy. He is in his 40s and has some childhood issues. He has kids from his previous ex-wife and is unable to see them.,pass1,,Relationships,Relationships,10,10,0,0,28
41,I have severe anxiety and have tried everything. Everything makes it worst.The only thing that helps is my emotional support animal.,pass1,,Cognitive Stress,Cognitive Stress,8,8,61.59,38.41,21
42,"My husband has had issues with alcohol addiction in the past (he'd never admit to this). A while back (3 years ago), I asked him to stop drinking so much, and he agreed. I caught him one night drinking behind my back. I confronted him and he lied, but I told him I knew he was lying because I counted the beers in the fridge and four of them were missing. He admitted and apologized and promised he wouldn't do it again. Lately, my husband has been drinking on and off, but I noticed it was every single night. I didn't like this. For our New Year‚I's resolution, we decided we were going to limit our alcohol consumption. He was on board‚Äîno more drinking every night.

The other night, I counted the beers in the fridge just to see if some were missing. It took a couple of days, but tonight, I discovered a few were missing along with a shot of vodka. He was passed out on the couch when I decided to wake him up and confront him (poor timing, but I couldn't wait). I asked him if he'd come to bed with me (when he drinks, he snores and I cannot sleep‚Äîit's a dead giveaway he's been drinking). He slurred a bit and said no. I asked if he had been drinking, but he snapped and said no. I went into our room to sleep, leaving him on the couch. 

I'm not sure if I'm overreacting or not. I just feel like I'm so honest with him about everything, and I expect the same honesty. He is a good husband in every other regard.",pass1,,Relationships,Relationships,10,10,44.08,55.92,276
43,"I am divorced and happily remarried. Our blended family of children are in their 20s. My youngest, age 20, continues to call me crazy and favors her dad. He was abusive to me, and I left with injuries. He never wanted kids, and I did. He paid child support only through forced wage earners. Now my daughters favor him after all the sacrifices I made for them the past 15 years as a single mom. I don‚I't deny them a relationship with their dad, but to be called crazy and then watch them hang out with him hurts me to the very core. I‚I'm not sure how to handle this.",pass1,,Relationships,Relationships,10,10,29.77,70.23,110
44,"I'm in my late 20s, and I've never had a boyfriend or even been on a date. I have no friends. I hate Facebook because everyone else has kids and a great husband and great paying jobs. I work in retail, and I can't find a job. I have an Associate degree. No one is not giving me a chance, and I'm getting upset and frustrated. I feel worthless and feel like everyone hates me. I feel like a failure, and I still live with my Dad. It's very embarrassing!",pass1,,Perceptual Stress,Cognitive Stress,8,9,35.09,64.91,90
45,"I've been having this ongoing problem for most of my life now. I am a young adult, and right now, driving and even being a passenger gives me terrible panic attacks and anxiety. I can't ride in the backseat or the front seat with the safety belt on. I have to lean the seat back a bit because the pressure on my back terrifies me. I miss so many opportunities to go places with friends and family because of my fears of having a panic attack. My family offers little to no support. They think it's fake or ""all in my head."" It makes me feel guilty and at times depressed to the point where I'd rather never wake up anymore. I am not self-harming, I just feel meaningless. This constant fear has taken over my thoughts and my life. I was such a happy person. I want my life back. I want to travel with my friends and family again, but I don't know how. I've almost given up hope on getting better and just accepting the fact that I'll live with this anxiety forever.",pass1,,Cognitive Stress,Cognitive Stress,8,8,42.18,57.82,186
46,"My husband has had issues with alcohol addiction in the past (he'd never admit to this). A while back (3 years ago), I asked him to stop drinking so much, and he agreed. I caught him one night drinking behind my back. I confronted him and he lied, but I told him I knew he was lying because I counted the beers in the fridge and four of them were missing. He admitted and apologized and promised he wouldn't do it again. Lately, my husband has been drinking on and off, but I noticed it was every single night. I didn't like this. For our New Year‚I's resolution, we decided we were going to limit our alcohol consumption. He was on board‚Äîno more drinking every night.

The other night, I counted the beers in the fridge just to see if some were missing. It took a couple of days, but tonight, I discovered a few were missing along with a shot of vodka. He was passed out on the couch when I decided to wake him up and confront him (poor timing, but I couldn't wait). I asked him if he'd come to bed with me (when he drinks, he snores and I cannot sleep‚Äîit's a dead giveaway he's been drinking). He slurred a bit and said no. I asked if he had been drinking, but he snapped and said no. I went into our room to sleep, leaving him on the couch. 

I'm not sure if I'm overreacting or not. I just feel like I'm so honest with him about everything, and I expect the same honesty. He is a good husband in every other regard.",pass1,,Relationships,Relationships,10,10,44.08,55.92,276
47,"My suppose-to-be father told me to go find my real dad. We haven't been getting along since I was a teenager. If I said one thing that he thought was wrong, I always got degraded. He never said ‚ÄúI love you.‚Äù He never gave us hugs. He‚I's always called me horrible names. I feel he's an evil man with no feelings.",pass1,,Relationships,Relationships,10,10,0,100,61
48,"I keep being mean to my best friend, and I don't know why all the time. I did come to maybe some kind of conclusion that it is because my mother is mean to me all the time. Could that be a cause?",pass1,,Cognitive Stress,Cognitive Stress,8,8,100,0,43
49,"I've got so much anger. I don't know how to control myself. My girlfriend screams at me all the time, and sometime I don't know how to deal with life. I'm very depressed and angry. I feel lost.",pass1,,Emotional Stress,Emotional Stress,7,7,0,100,38
50,I've been getting told lately by my partner that it‚I's embarrassing that I'm so antisocial around his family and friends. I believe it's because I'm not as social as him.,pass1,,Cognitive Stress,Relationships,10,8,54.29,45.71,30
51,"I met a guy a while ago, and I can't stop thinking about him. I feel like I love him, but I don't think I know him. What if he is not who I think he is? I cry sometimes thinking someone is going to be with him or that he has a girlfriend. I don't know, am I too obsessive? Every time we talk though, it's like magic. He makes me feel amazing, but what if I'm mistaken?",pass1,,Cognitive Stress,Cognitive Stress,8,8,60.27,39.73,79
52,"A girl and I were madly in love. We dated for over a year and were even talking about marriage and future plans together. She moved away for school, and we attempted a long distance relationship. We eventually broke up. It's been a year now, and I still haven't lost my feelings for her. I still love her the same way I did. I've suffered from depression ever since the breakup and have been unable to connect with anyone else. It's damaging me and my life.",pass1,,Emotional Stress,Relationships,10,7,39.85,60.15,86
53,I would like to be able to have more positive relationships in the present.,pass1,,Cognitive Stress,Cognitive Stress,8,8,100,0,14
54,"My fiance and I have almost the best relationship every girl wants, but lately it's changed. I get less attention and little to no intercourse. He works a lot and goes to the gym a lot (he's a football player for an indoor league), but he has no time for me. We live two hours from family, and when I leave home to see family, he'll text me saying ""whatever"" and ""leave me alone."" But when we're together, everything is okay. No fighting or anything. I love this man, but I just don't know what to do anymore.",pass1,,Relationships,Relationships,10,10,44.1,55.9,98
55,"My dad passed away when I was a teenager. I never got any help, and five years later, I feel like I can't handle it anymore.",pass1,,Lack of social support,Emotional Stress,7,11,52.5,47.5,26
56,My grandma had a stroke and passed away recently. I lost my home and job. I'm looking but haven't found a job. I've been binge watching television and binge eating.,pass1,,Emotional Stress,Finance,17,7,0,100,30
57,"My mother and I have an okay relationship. I know she loves me unconditionally, and I love her the same. However, more times than not, I'm afraid to tell her anything personal because she either doesn't listen, she turns it around and makes everything about her, or she ignores things - even when they are about my mental health.",pass1,,Relationships,Relationships,10,10,82.54,17.46,59
58,"Me and my adult daughter just do not get along. She's very belittling to me when I don't agree with her. It's almost like she scolds me. We get into all out war. She's said I don't support her in what she does and that I've never loved her. She calls me horrible names, and she pushes my buttons to the point I call her names.",pass1,,Relationships,Relationships,10,10,12.99,87.01,66
59,"I want a secure relationship with someone that wants to be with me and who will actually put effort into it.
 
 I seem to gravitate toward unavailable men and those that want intimacy and no relationship. I let men dictate and control me because they accuse me of being controlling. I let men emotionally abuse me and I am at their beck and call.
 
 I am not comfortable being alone or doing anything by myself. I feel I need the security of someone being around just to survive. I know what I'm doing wrong and I do it anyway just hoping things will change. How do I stop this behavior and thought process?",pass2,,Cognitive Stress,Cognitive Stress,8,8,42.5,57.5,115
60,"My son claims that hes been having extremely violent thoughts and dreams. Not violent like he's hurting someone, but violent thoughts like horrible things happening to his loved ones. He explained one of his dreams the other day and it was so violent it was sickening. It was far beyond anything in a horror movie, he says he can't help these thoughts they just pop up. Please help!",pass2,,Emotional Stress,Emotional Stress,7,7,24.05,75.95,68
61,"I am in my mid 30s. I feel I have used only 5% of my potential. I am in film making, but everything is stuck. I've never had a serious relationship. I had worthless jobs. I do a lot of meditation to try to fix it.",pass2,,Values of life,Cognitive Stress,8,14,17.22,82.78,46
62,"I constantly feel like everyone is up against me and trying their best to shut me down. It's ruining my mood and even my whole self. I have trouble sleeping, and I keep having sleep paralysis while dreaming of others mocking and judging me.",pass2,,Emotional Stress,Emotional Stress,7,7,47.52,52.48,44
63,"I've had posttraumatic stress disorder for years without my parents ever finding out. I want to overcome it, but it‚I's so vivid, it‚I's like it‚I's happening again. I'm scared and paranoid. I have depression, which I have been struggling with since a young age.",pass2,,Cognitive Stress,Cognitive Stress,8,8,20.24,79.76,44
64,"I have not been able to really sleep. I stay up all times of the night not even knowing why. Every day, I feel like I have anger inside of me. I have a little family, but I can't open up to them like I want to. I have a son, and I feel that I take my anger out on him by screaming at him.",pass2,,Emotional Stress,Emotional Stress,7,7,37.36,62.64,66
65,"I was anxious to go to middle school. I was afraid of what people might say about me, so when school started, I wasn't acting like myself. I was quiet, which I'm usually not. I didn't talk to anybody and didn't have any friends. Then a few years later, my grandma died. I really became depressed and stop going to school for a little. I hated myself and still do. I just need help. I need someone to care for me. I need someone to show that they care.",pass2,,Lack of social support,Lack of social support,11,11,31.35,68.65,89
66,I loved him more than anything. He passed away on our anniversary which was also the day I was going to apply for our apartment. I'm not handling it well. I moved to a new town and started a new life but nothing helps.,pass2,,Relationships,Relationships,10,10,36.77,63.23,44
67,"I self-harm, and I stop for awhile. Then when I see something sad or depressing, I automatically want to self-harm.",pass2,,Cognitive Stress,Cognitive Stress,8,8,14.06,85.94,20
68,"Something happened this summer that I cannot forgive myself for. When I think about what happened, I feel ashamed and guilty even though my loved ones forgave me.",pass2,,Cognitive Stress,Cognitive Stress,8,8,44.9,55.1,28
69,"About 3 years ago or so I was skinny, but I was still ugly. I really do want to change that but I've tried 3 times. Now can I try but don't stop. At school I get bullied about my weight and my ugliness and I have been bullied my whole life that I believe them.
 How can I stop thinking about them and don't let it get in my head? My parents said I don't weight that much but, they do think I am fat but, they tell me I am not. I told my parents that I need to go to a therapist, but they think I am fine and I think they don't want to deal with it.",pass2,,Cognitive Stress,Cognitive Stress,8,8,33.86,66.14,121
70,"I am married to a beautiful lady. I love my wife with all my heart. We have 3 boys and I have a daughter from a previous marriage. We also have 3 grandchildren.
 Now this event is tearing us apart. I want our family to be together and happy. It was a mistake from so long ago. My wife wants to leave and I don't want that to happen I love her so much. Please help me save my marriage. Even my 3 boys want us to work it out. They love us both and want our family together. Please give me some advice or hope. Sincerely heart broken.",pass2,,Relationships,Relationships,10,10,86.34,13.66,109
71,"I feel that I need to end my present relationship. He lives three hours away and likes the reassurance of having someone to talk to multiple times per day and seeing me once or twice a month. I want someone who is more present and more of a life companion.
 Lately, he has had a very busy work schedule and I have only seen him a few times in the last 6 weeks. I told him that I can't continue in this way because I constantly feel frustrated and angry and that he is not making the relationship enough of a priority. I also feel it is keeping me from possibly finding the relationship I want.
 We have been together 7 years. The problem is that I panic and experience anxiety and depression thinking of him with someone else and then thinking I will never meet someone I like. We have gone through this cycle already 4-5 times and I feel it is unhealthy to stay in it, but my aversion to the anxiety and depression I experience upon separation always leads me to reconcile.",pass2,,Relationships,Relationships,10,10,18.33,81.67,185
72,"I know someone who is extremely sensitive to stress and very sensitive to a negative tone of voice. Sometimes during a disagreement he tells me that my communication is having a harmful impact on him. Once he believes I am being negative I can't seem to find a better way of communicating. In fact, it is often a self fulling prophesy because his accusatory manner becomes unbearably frustrating. 
 
 
 
 What advice might you offer?",pass2,,Relationships,Emotional Stress,7,10,15.04,84.96,77
73,I have manic depression and last summer was very very bad. I have recurring nightmares and I avoid anything that will give me a similar feeling as I did that summer.,pass2,,Cognitive Stress,Cognitive Stress,8,8,13.12,86.88,31
74,"My therapist is gay so there are no sexual issues here. However, my therapist for six years has made me believe that he cares about me and that we are friends. I have loaned money to him many times, and he always paid me back.
 
 
 
 I had a medical emergency last weekend and I was heavily medicated. I knew that this therapist came into my home and wrote down my credit card information so he could pay back what he owed me, but this therapist dropped me off and never came again. I don't know what to do.",pass2,,Relationships,Cognitive Stress,8,10,54.55,45.45,101
75,"Tonight, my husband seemed to put our son down through an incorrect approach. His approach was perfectly wrong. I found myself defending my son. I told him that what he did was not the way to encourage our son.
 
 Instead of watching my husband‚I's harsh behavior I decided to sit beside my son and, together, we worked on his science assignment in order to encourage him to study. My husband got upset and he was swearing at me. He threatened me. I knew that he was not joking. His words scared me a lot!",pass2,,Relationships,Relationships,10,10,36.9,63.1,95
76,"I'm going through a divorce with my wife of three years, who I've known since the 4th grade and been involved with for seven years! We just had a baby seven months ago and never got along with my mother, who I've lived with for years. I am now back with my mother because I have nowhere to go with this divorce looming. I'm heart broken because I fell into a depression, I haven't seen my child in a while, I'm having good and bad dreams, and I feel hated. Can you help? Can you intervene? Can I speak with someone?",pass2,,Relationships,Relationships,10,10,33.05,66.95,101
77,"Sometimes I can't stop thinking about life after death. I was raised in a religion that teaches that we will live on forever either in hell or in heaven. 
 
 When I think of living forever (even if it is in heaven which should be good), I feel overwhelmed. I don't like the thought of living forever and ever and ever. Sometimes I just can't get the thought out of my mind and the thoughts lead to panic and anxiety. 
 
 Am I crazy? I don't think these thoughts are normal.",pass2,,Purpose of living,Purpose of living,15,15,34.98,65.02,93
78,"It's not entirely true to say I enjoy being sad, but I always find a way to feel that way. I listen to sad music, read tragic stories, and, in a twisted way, like how bad it makes me feel. I focus on negative aspects of my life even if they aren't legitimate or I just make it seem negative.",pass2,,Perceptual Stress,Cognitive Stress,8,9,16.59,83.41,60
79,"The sensation lasted hours. It seemed like a circulation problem, and I panicked and of course ended up in the ER again. This time a doctor came to see me immediately. He wanted to talk about my anxiety. He said he could run some more tests, but he didn't think it would help.",pass2,,Illness,Cognitive Stress,8,2,50.26,49.74,53
80,I feel like I'm trying to reason my situation though. I'm listing off things that a person would associate success with but I'm not seeing the things I'm failing at. Or maybe I do and the Navy is just exaggerating the things they want out of me? I feel like the Navy is easy and I don't put a lot of time towards it \( I mean qualifications\). When I'm at work I feel like I really  focus in on a task.,pass2,,Cognitive Stress,Cognitive Stress,8,8,71.04,28.96,83
81,I’ve been leaving lights on at night both in the main rooms and my bedroom. The fear is both physical and emotional. I’m so jumpy at work and at home. I feel like I’m seeing things everywhere and little waves of panic wash through me all day. I’m really just finding this incredibly difficult right now and needed to write it out I guess.,pass2,,Cognitive Stress,Emotional Stress,7,8,26.39,73.61,64
82,"During the pregnancy and after the (traumatic) birth of our first child in 2013, symptoms started to intensify, including lots of depression, some manic behavior, and periodic angry outbursts. Somewhere in there we settled on a very (relatively speaking) effective combination of mental health meds that stabilized symptoms. We had our second child in 2015, after which an injury led to the discovery of a debilitating and incurable connective tissue disorder. The symptoms from this have been getting worse since then, and a good chunk of time from 2015 until now has been discovering what’s going on, coming to grips with a new reality, and managing those symptoms. Overall we’ve had a very healthy supportive relationship with strong shared values.",pass2,,Trauma,Trauma,0,0,56.42,43.58,120
83,"Even moreso with a little push from behind. I've also been interviewing and applying for more secondary jobs to supplement my current employment and that seems to be going increasingly well. Thank you so much again everyone who sent food items to me, I'll be sure to pay it forward someday! EDIT 8/10: I received -even more- stuff just a few days ago, some pasta and sauce and then oatmeal too! Thank you so much, mystery redditor!",pass2,,Finance,Finance,17,17,88.19,11.81,77
84,"Sure it was almost 3 years ago (in July) two months into my first job out of university. I got bit in the leg and continued on like it was nothing. I only fell apart October 2016. I must have been living in survival mode until I got the call that the man who saved my life was getting recognized with a bravery award. Hearing those words, I literally felt my chest rip open and haven't been able to close the wound since.",pass2,,Trauma,Cognitive Stress,8,0,100,0,83
85,Hey. First time posting here. I have been living in my car with my brother and cat since May. I am feeling extremely depressed/defeated right now hence why I'm posting here. I'll start from the beginning.,pass2,,Finance,Finance,17,17,100,0,36
86,at some point they laughed and i had to leave because i got physically sick to my stomach. i guess i didn't realize how much they had screwed me up. now i feel like shit though because the acquaintance is a nice person and i want to be friends with them. we were all planning a dnd game together over text for a while and i just want to be able to talk to them without thinking about my ex. any solutions or help ideas?,pass2,,Cognitive Stress,Cognitive Stress,8,8,61.88,38.12,85
87,"Who do I talk to at this point, the Command Equal Opportunity Officer (e-7) who basically says she will look into it but doesn't seem concerned. There is a stigma about asking for help in the Navy and it needs to change. Basically, if you take any meds you get treated like a black sheep. If you go to medical and they give you meds, you get removed from your duties and everyone else carries your load while you are forced to stand around them not allowed to do anything. If you do get out of the navy because you spoke out about being depressed, anxious, or having symptoms of PTSD then you would be seperated from the Navy and sent home.",pass2,,Cognitive Stress,Cognitive Stress,8,8,44.3,55.7,122
